"scenario_id","truth_class","n","design_layer","analysis_conclusion","status","overall_score","fragility_component","bootstrap_reproducibility","jackknife_stability"
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",64.3061224489796,30.6122448979592,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",58.2244897959184,22.4489795918367,94,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",54.2040816326531,20.4081632653061,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",65.3265306122449,32.6530612244898,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",43.1020408163265,10.2040816326531,76,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",53.1632653061224,16.3265306122449,90,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",59.265306122449,26.530612244898,92,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",65.3265306122449,32.6530612244898,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",64.3061224489796,30.6122448979592,98,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",60.2448979591837,24.4897959183673,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",52.1632653061224,16.3265306122449,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",51.1836734693878,18.3673469387755,84,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",42.0816326530612,8.16326530612245,76,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",61.265306122449,26.530612244898,96,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",30.0408163265306,4.08163265306122,56,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",53.2040816326531,20.4081632653061,86,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",53.1836734693878,18.3673469387755,88,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",50.1632653061224,16.3265306122449,84,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",66.3265306122449,32.6530612244898,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",66.3265306122449,32.6530612244898,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",49.1224489795918,12.2448979591837,86,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",38.0816326530612,8.16326530612245,68,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",61.2244897959184,22.4489795918367,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",71.4285714285714,42.8571428571429,100,100
"lm_ancova_v2_core_n160_r2_10_clear","clear",160,"core","significant","completed",53.1632653061224,16.3265306122449,90,100
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",36.0612244897959,6.12244897959184,66,100
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",42.0816326530612,8.16326530612245,76,100
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",28.0204081632653,2.04081632653061,54,97.5
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",45.1020408163265,10.2040816326531,80,100
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",36.0408163265306,4.08163265306122,68,100
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",26.0408163265306,4.08163265306122,48,100
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",26.0204081632653,2.04081632653061,50,67.5
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",27.0204081632653,2.04081632653061,52,92.5
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",34.0204081632653,2.04081632653061,66,76.25
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",46.0816326530612,8.16326530612245,84,100
"lm_ancova_v2_core_n160_r2_10_null","null",160,"core","significant","completed",33.0612244897959,6.12244897959184,60,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",51.1632653061224,16.3265306122449,86,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",45.1020408163265,10.2040816326531,80,100
